"taxa_id","Kingdom","Phylum","Class","Clade","Orders","Family","Genus","Species","common_name","RecordsWithDenominators","NeoplasiaWithDenominators","NeoplasiaPrevalence","X.","MalignancyKnown","Malignant","MalignancyPrevalence","PropMalignant","Benign","BenignPrevalence","PropBenign","X..","RecordsFromAllSources","NeoplasiaFromAllSources","Necropsies","X.Sources","X...","female_maturity.months.","male_maturity.months.","Gestation.months.","Weaning.months.","Infancy.months.","litter_size","litters_year","interbirth_interval","birth_weight.g.","weaning_weight.g.","adult_weight.g.","growth_rate.1.days.","max_longevity.months.","metabolic_rate","SE_simple","InferredNeoplasia","Keep"
1293,"Animalia","Chordata","Mammalia","Mammalia","Chiroptera","Phyllostomidae","Chrotopterus","Chrotopterus_auritus","Vampire bat",48,1,0.020833333,"-",1,0,0,0,1,0.020833333,1,"-",48,1,48,9,"-",18.01035503,18.01035503,2.830046022,9.00591716,9.00591716,0.99,-1,-1,-1,-1,84.38,-1,-1,101.86,0.144337567,1.926239521,TRUE
576,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Atheris","Atheris_ceratophora","Atheris ceratophora",44,1,0.022727273,"-",1,1,0.022727273,1,0,0,0,"-",44,1,44,14,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.150755672,-1,TRUE
1656,"Animalia","Chordata","Aves","Sauropsida","Anseriformes","Anatidae","Dendrocygna","Dendrocygna_viduata","White faced tree duck",84,2,0.023809524,"-",2,1,0.011904762,0.5,1,0.011904762,0.5,"-",84,2,84,3,"-",-1,-1,0.887573964,-1,4.746861817,-1,-1,-1,22,-1,610,-1,144,-1,0.109108945,15.73550479,TRUE
675,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Bitis","Bitis_arietans","Puff adder",83,2,0.024096386,"-",2,1,0.012048193,0.5,1,0.012048193,0.5,"-",83,2,83,4,"-",-1,-1,-1,-1,6.250034726,156,-1,-1,-1,-1,2381,-1,189.6,-1,0.10976426,17.04378939,TRUE
314,"Animalia","Chordata","Amphibia","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus_baxteri","Wyoming toad",200,5,0.025,"-",3,2,0.01,0.666666667,1,0.005,0.333333333,"-",200,5,200,4,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.070710678,-1,TRUE
4272,"Animalia","Chordata","Aves","Sauropsida","Psittaciformes","Psittaculidae","Trichoglossus","Trichoglossus_haematodus","Coconut lorikeet",190,5,0.026315789,"-",5,3,0.015789474,0.6,2,0.010526316,0.4,"-",190,5,190,19,"-",-1,-1,-1,-1,6.368706272,-1,-1,-1,-1,-1,115.1,-1,193.2,-1,0.072547625,15.77711806,TRUE
111,"Animalia","Chordata","Amphibia","Amphibia","Anura","Hylidae","Agalychnis","Agalychnis_callidryas","Green tree frog",73,2,0.02739726,"-",2,1,0.01369863,0.5,1,0.01369863,0.5,"-",73,2,73,20,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.117041147,-1,TRUE
4547,"Animalia","Chordata","Aves","Sauropsida","Columbiformes","Columbidae","Zenaida","Zenaida_graysoni","Soccoro dove",35,1,0.028571429,"-",1,1,0.028571429,1,0,0,0,"-",35,1,35,1,"-",-1,-1,-1,-1,1,-1,-1,-1,-1,-1,191,-1,-1,-1,0.169030851,2.281033367,TRUE
3706,"Animalia","Chordata","Mammalia","Mammalia","Primates","Callitrichidae","Saguinus","Saguinus_imperator","Emperor tamarins",35,1,0.028571429,"-",1,1,0.028571429,1,0,0,0,"-",35,1,35,9,"-",17.94871795,23.99737015,4.76660092,-1,63.8,-1,-1,-1,47,-1,518.5,-1,284.4,-1,0.169030851,17.43832631,TRUE
1827,"Animalia","Chordata","Aves","Sauropsida","Pelecaniformes","Threskiornithidae","Eudocimus","Eudocimus_ruber","Scarlet ibis",105,3,0.028571429,"-",3,0,0,0,3,0.028571429,1,"-",105,3,105,17,"-",-1,-1,0.756081525,-1,13.13298436,-1,-1,-1,-1,-1,615,-1,398.4,-1,0.097590007,18.39079109,TRUE
