taxa_id,Kingdom,Phylum,Class,Clade,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources,---,female_maturity(months),male_maturity(months),Gestation(months),Weaning(months),Infancy(months),litter_size,litters_year,interbirth_interval,birth_weight(g),weaning_weight(g),adult_weight(g),growth_rate(1/days),max_longevity(months),metabolic_rate,SE_simple
572,Animalia,Chordata,Amphibia,Amphibia,Anura,Bufonidae,Atelopus,Atelopus zeteki,Panamanian golden frog,137,1,0.00729927,-,6,1,0.00729927,0.166666667,0,0,0.833333333,-,142,6,137,22,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.085435766
1612,Animalia,Chordata,Mammalia,Mammalia,Rodentia,Sciuridae,Cynomys,Cynomys ludovicianus,Gunnison prairie dog,137,29,0.211678832,-,39,23,0.167883212,0.871794872,5,0.03649635,0.128205128,-,148,40,137,24,-,23.99737015,23.99737015,0.986193294,2.071005917,2.071005917,4.43,-1,12,15.75,148.35,1125,0.0111,132,422.67,0.085435766
4007,Animalia,Chordata,Mammalia,Mammalia,Carnivora,Herpestidae,Suricata,Suricata suricatta,Slender tail meerkat,133,21,0.157894737,-,46,16,0.120300752,0.673913043,5,0.037593985,0.326086957,-,158,46,133,25,-,11.99868508,11.99868508,2.531229454,1.446416831,1.446416831,3.86,-1,12,29,225.5,776,0.0161,247.2,290.12,0.086710997
1652,Animalia,Chordata,Aves,Sauropsida,Anseriformes,Anatidae,Dendrocygna,Dendrocygna autumnalis,Black-bellied whistling duck,130,11,0.084615385,-,10,8,0.061538462,0.8,2,0.015384615,0.2,-,130,11,130,25,-,11.99868508,11.99868508,0.887573964,-1,36.5,14,-1,-1,30.8,-1,828,0.17,98.4,-1,0.087705802
1804,Animalia,Chordata,Aves,Sauropsida,Passeriformes,Estrildidae,Chloebia,Chloebia gouldiae,Gouldian finch,121,5,0.041322314,-,5,5,0.041322314,1,0,0,0,-,121,5,121,10,-,-1,-1,0.427350427,-1,1,5.7,2.5,-1,-1,-1,12,-1,-1,-1,0.090909091
950,Animalia,Chordata,Mammalia,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,Domestic goat,117,37,0.316239316,-,46,16,0.136752137,0.47826087,20,0.170940171,0.52173913,-,127,47,117,29,-,13.34648258,22.51808021,5.095332018,5.259697567,5.259697567,1.5,1.1,14.83,2250,-1,61000,0.0041,249.6,-1,0.092450033
2634,Animalia,Chordata,Aves,Sauropsida,Galliformes,Phasianidae,Lophura,Lophura edwardsi,Superb fruit dove,110,0,0,-,0,0,0,NA,0,0,NA,-,110,0,110,3,-,-1,-1,-1,-1,1,5.3,-1,-1,-1,-1,1082.5,-1,-1,-1,0.095346259
1025,Animalia,Chordata,Mammalia,Mammalia,Rodentia,Caviidae,Cavia,Cavia fulgida,Guinea pig,109,17,0.155963303,-,17,12,0.110091743,0.705882353,5,0.04587156,0.294117647,-,109,17,109,17,-,-1,-1,-1,0.686390533,0.686390533,1.34,-1,-1,-1,-1,282.5,-1,-1,-1,0.095782629
120,Animalia,Chordata,Aves,Sauropsida,Psittaciformes,Psittacidae,Agapornis,Agapornis nigrigenis,Black-cheeked lovebird,108,2,0.018518519,-,2,0,0,0,2,0.018518519,1,-,108,2,108,3,-,-1,-1,-1,-1,1,4.9,-1,-1,-1,-1,40.45,-1,-1,-1,0.096225045
3324,Animalia,Chordata,Amphibia,Amphibia,Anura,Pipidae,Pipa,Pipa pipa,Surinam toad,108,4,0.037037037,-,3,1,0.009259259,0.333333333,2,0.018518519,0.666666667,-,108,4,108,21,-,-1,-1,-1,-1,3.045902999,-1,-1,-1,-1,-1,-1,-1,92.4,-1,0.096225045
