species,x
Nyctimystes_infrafrenatus,0.11111111
Saimiri_sciureus,0.11267606
Padda_oryzivora,0.11428571
Bitis_gabonica,0.11428571
Nymphicus_hollandicus,0.11428571
Leucopsar_rothschildi,0.11538462
Rangifer_tarandus,0.11764706
Colobus_guereza,0.11764706
Lontra_canadensis,0.11904762
Mustela_nigripes,0.11956522
Heloderma_horridum,0.12121212
Rousettus_aegyptiacus,0.12280702
Acryllium_vulturinum,0.12820513
Micromys_minutus,0.13043478
Meleagris_gallopavo,0.14084507
Agapornis_fischeri,0.14285714
Equus_grevyi,0.14285714
Rhea_americana,0.14285714
Papio_hamadryas,0.15
Aix_sponsa,0.15151515
Acinonyx_jubatus,0.15189873
Crotalus_horridus,0.15384615
Cavia_fulgida,0.1559633
Dasyprocta_punctata,0.15625
Suricata_suricatta,0.15789474
Octodon_degus,0.16
Nanger_dama,0.16
Numida_meleagris,0.16666667
Crotalus_durissus,0.16666667
Addax_nasomaculatus,0.16666667
Panthera_leo,0.16666667
Lichanura_trivirgata,0.16666667
Pogona_vitticeps,0.16949153
Callithrix_jacchus,0.17021277
Sanzinia_madagascariensis,0.17391304
Heloderma_suspectum,0.17460318
Leontopithecus_chrysomelas,0.17647059
Phacochoerus_africanus,0.17647059
Oryctolagus_cuniculus,0.18064516
Hydrochoerus_hydrochaeris,0.18181818
Acrantophis_dumerili,0.18181818
Eublepharis_macularius,0.18421053
Zalophus_californianus,0.19298246
Anolis_equestris,0.2
Ambystoma_tigrinum,0.2
Boa_constrictor,0.2
Eudorcas_thomsonii,0.20689655
Melopsittacus_undulatus,0.20754717
Cynomys_ludovicianus,0.21167883
Anas_platyrhynchos,0.21212121
Saguinus_oedipus,0.21666667
Gorilla_gorilla,0.225
Panthera_tigris,0.23943662
Tiliqua_scincoides,0.24
Mandrillus_sphinx,0.25
Gallus_gallus,0.25735294
Varanus_beccarii,0.25806452
Phascolarctos_cinereus,0.26190476
Ovis_aries,0.27586207
Lemur_catta,0.28421053
Platalea_ajaja,0.29032258
Lama_glama,0.29411765
Panthera_pardus,0.3
Puma_concolor,0.30434783
Ursus_maritimus,0.30769231
Capra_hircus,0.31623932
Vulpes_zerda,0.31818182
Canis_lupus,0.33333333
Lampropeltis_getula,0.33333333
Varecia_variegata,0.33333333
Python_bivittatus,0.33333333
Pantherophis_guttatus,0.34328358
Rattus_norvegicus,0.34463277
Lycaon_pictus,0.34482759
Didelphis_marsupialis,0.35416667
Pituophis_catenifer,0.36
Panthera_uncia,0.36363636
Pan_troglodytes,0.38461539
Mus_musculus,0.3902439
Lampropeltis_triangulum,0.39130435
Petaurus_breviceps,0.4
Elephas_maximus,0.40909091
Atelerix_albiventris,0.44897959
Panthera_onca,0.45454546
Leptodactylus_fallax,0.45833333
Mustela_putorius,0.62857143
