taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources,SE_simple
4205,Animalia,Chordata,Actinopterygii,Perciformes,Toxotidae,Toxotes,Toxotes chatareus,NA,4,0,0,-,0,0,0,NA,0,0,NA,-,4,0,4,3,0.5
1395,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber mormon,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
3352,Animalia,Chordata,Reptilia,Testudines,Chelydridae,Platysternon,Platysternon megacephalum,NA,9,0,0,-,0,0,0,NA,0,0,NA,-,9,0,9,4,0.333333333
615,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya collaris,NA,2,0,0,-,5,0,0,1,0,0,0,-,7,5,2,3,0.707106781
1792,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Eremophila,Eremophila alpestris,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
1240,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Notopteridae,Chitala,Chitala ornata,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
3556,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Pterois,Pterois antennata,Lion fish,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
1218,Animalia,Chordata,Reptilia,Squamata,Boidae,Chilabothrus,Chilabothrus granti,NA,11,2,0.181818182,-,2,2,0.181818182,1,0,0,0,-,11,2,11,4,0.301511345
2926,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Nanger,Nanger dama,Addras Gazelle,50,8,0.16,-,7,2,0.04,0.428571429,4,0.08,0.571428571,-,51,9,50,10,0.141421356
4380,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Uraeginthus,Uraeginthus cyanocephalus,NA,27,0,0,-,0,0,0,NA,0,0,NA,-,27,0,27,6,0.19245009
2246,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus coronatus,NA,4,0,0,-,0,0,0,NA,0,0,NA,-,4,0,4,2,0.5
191,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona auropalliata,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,2,0.707106781
2567,Animalia,Chordata,Reptilia,Testudines,Emydidae,Glyptemys,Leucocephalon yuwonoi,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,1,0.707106781
570,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Atelomycterus,Atelomycterus marmoratus,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,2,0.577350269
